股票代码,营业收入,营业利润,利润总额,净利润,总资产,固定资产,净资产收益率,每股净资产,每股资本公积,每股收益,年度
600470.SH,7549219616.43,241276086.58,280279263.55,192977947.87,6995025087.8,2161655016.33,11.3035,3.457,2.4838,0.37,2022
600237.SH,1040482674.93,78828352.01,79691558.94,73948439.39,1924529260.86,581989562.36,6.2288,2.1691,1.4916,0.13,2022
600523.SH,2153258906.35,147753530.1,143770742.51,122780957.98,3448311273.02,524083197.41,4.4282,6.971,2.1539,0.3,2022
605339.SH,2861395176.17,197013178.47,195901723.95,160575547.42,4161437459.39,1064501806.93,4.9802,7.5913,2.9602,0.38,2022
688531.SH,484675500.0,76955400.0,76718000.0,71725100.0,737680700.0,,18.1048,7.2858,5.1053,1.2,2022
601059.SH,3437762591.78,1528589424.4,1517309832.92,1227342108.11,65750409154.18,108168256.57,9.3948,4.6879,0.6028,0.42,2022
688203.SH,605432444.66,52220369.09,52575979.48,47031528.75,1927583851.08,427846721.04,4.4667,7.1635,5.9665,0.28,2022
600732.SH,35074957100.06,2487532945.89,2472718898.74,2328201322.76,24689731512.57,10120650305.53,32.9292,6.9571,3.0705,1.34,2022
301046.SZ,381672608.47,24229522.03,27175673.06,26142707.54,1164306687.23,191256315.72,3.369,5.1051,2.1393,0.17,2022
603813.SH,519390567.48,33574495.17,39869505.81,37654924.28,1328514470.87,378578390.17,6.2006,6.5296,3.7288,0.41,2022
002179.SZ,15838116672.04,3020581749.47,3054022995.3,2717129034.17,31810733159.99,3224224373.79,16.8109,10.669,4.5923,1.7249,2022
920665.BJ,283953279.48,61191012.75,60933334.12,52415423.25,547091105.25,125657085.7,12.2222,4.4024,0.8591,0.53,2022
603105.SH,649876022.88,213965228.89,215093557.82,191531879.67,3509406813.96,2689577377.32,11.3537,3.5305,1.4307,0.38,2022
002777.SZ,1282565406.91,207252750.77,207996299.4,184170467.04,2534073058.12,122334543.4,12.4251,3.7796,0.7682,0.45,2022
300765.SZ,2626488832.63,855588016.45,851372271.59,726277891.97,4584035512.38,984018362.29,21.0892,6.3588,1.8394,1.1734,2022
002865.SZ,11595386331.54,891641722.29,891710769.37,716946874.45,9489304291.46,4155021349.24,69.8554,7.4251,0.6806,5.08,2022
920895.BJ,138479457.55,29094345.42,28853730.39,24774970.77,161553208.74,29003246.21,20.8257,3.1069,0.1658,0.58,2022
688508.SH,719591403.82,81733597.19,79215313.24,89844436.3,1720140222.4,121031263.33,6.0189,12.9786,8.5042,0.79,2022
000062.SZ,23941299880.97,1283099655.91,1288630919.97,952406473.47,16363460014.24,221722382.87,14.4446,6.7175,0.6268,0.9106,2022
600973.SH,41481573645.71,82019606.69,93846919.74,64751800.98,21192815242.59,5241765223.0,1.76,2.7283,1.1043,0.05,2022
301391.SZ,679244480.45,144318946.97,144405891.27,131374923.24,2534952092.96,15225834.19,10.3392,30.3745,25.6964,2.5,2022
603335.SH,1677424924.34,-35310457.66,-39222882.12,-38439059.69,1644984481.12,300924786.43,-6.8916,1.1865,,-0.09,2022
600976.SH,3640800477.09,442173082.49,437942957.62,407569092.78,3437659256.29,372111946.26,23.8061,12.1439,3.3192,2.68,2022
688569.SH,1340145445.49,313141279.64,313500061.3,236916442.68,3480533953.13,388135851.72,9.814,11.8969,5.4881,1.12,2022
600705.SH,11245763034.73,3599500634.51,3711461363.23,1680365562.12,488585137177.23,19092740751.51,4.1254,4.1776,0.6268,0.19,2022
688535.SH,303224299.77,41586504.33,42084656.43,41226772.29,505706651.89,103990554.82,11.4125,6.26,3.0767,0.68,2022
301203.SZ,376427919.95,175442483.22,175672023.73,148700831.06,634134693.23,,28.7172,9.3351,0.9733,2.47,2022
301314.SZ,306641227.47,132043763.77,132682353.25,103100031.96,613716763.88,83682670.43,24.751,14.6854,3.27,3.23,2022
301141.SZ,619259359.51,94786047.05,101054825.75,89382176.23,608002904.3,117771238.32,24.277,6.2137,1.1388,1.35,2022
600316.SH,7250643216.76,147892618.16,152240234.78,140872854.58,17234182614.2,1248861084.35,2.6732,7.3903,4.3887,0.1964,2022
688303.SH,30940306443.79,22527177283.22,22459419319.52,19120871257.32,52264886233.69,9106970227.34,61.673,21.307,7.9588,9.4,2022
603860.SH,224756135.63,43990314.19,43987351.16,38447568.17,868508050.7,156007531.77,5.4074,10.8948,3.31,0.58,2022
301299.SZ,272966073.52,69651123.98,65649947.43,58346587.99,1004026223.79,169184281.23,12.5255,11.5491,6.3586,1.23,2022
600765.SH,10569690898.56,1536425767.07,1534451960.87,1201768494.38,21084671407.66,2403523412.39,12.1683,7.0589,3.0241,0.82,2022
002190.SZ,1524350387.4,106001181.63,105944637.42,58416227.53,4766452988.87,528811542.79,1.3479,9.041,3.6125,0.1628,2022
002916.SZ,13992454035.04,1723145149.56,1720463891.82,1639730777.66,20726545628.78,9138020908.24,15.7922,23.8837,12.0678,3.22,2022
600356.SH,2455948158.37,155391198.34,152623266.03,128920271.32,3059656214.62,1037520433.56,5.482,8.0371,2.8978,0.43,2022
000050.SZ,31447476894.8,129034526.94,164190497.7,112521171.81,80989353510.79,23024803935.89,0.3466,12.2324,10.6745,0.0458,2022
000048.SZ,5995656104.54,1047236353.0,993425150.27,773073916.59,17536045755.1,4822700854.07,29.9896,5.0127,0.0806,1.4775,2022
605178.SH,329889674.67,-228347410.73,-225936033.33,-209097098.53,2321654418.74,129885592.78,-10.8811,18.2166,12.3437,-2.11,2022
688597.SH,622473954.94,85448024.32,92144024.32,79259337.54,1418607445.92,191358163.35,9.6165,4.9066,2.15,0.45,2022
002947.SZ,1547759171.87,232272527.57,229661885.62,193032929.6,2490190674.68,276539988.17,10.8322,8.0524,4.59,0.84,2022
601318.SH,1110568000000.0,106319000000.0,105815000000.0,83774000000.0,11137168000000.0,49941000000.0,10.0263,46.9728,7.303,4.8,2022
688586.SH,1114928450.26,267760966.95,270130528.11,243990970.18,3602094607.83,552206922.55,10.9777,4.1767,2.0267,0.43,2022
603393.SH,3416239655.7,2022177757.23,1997641740.6,923264401.11,12633998327.11,239839193.92,18.967,12.2637,5.0023,2.18,2022
600800.SH,6048128642.58,-44658950.19,-44530460.47,-38237804.5,4825158719.48,1998506376.4,-1.3061,2.454,1.7298,-0.03,2022
002560.SZ,5498643057.49,121494366.51,119672886.27,121808810.17,5231625255.51,765157371.26,5.0403,4.71,2.5039,0.23,2022
002514.SZ,684026684.14,24030840.58,22751633.89,30354847.01,2341864644.54,505185252.25,3.4253,1.5879,0.8158,0.0487,2022
601138.SH,511849579000.0,21872351000.0,21963002000.0,20073072000.0,284187662000.0,15937003000.0,16.1778,6.4944,1.4346,1.02,2022
603186.SH,3285504596.23,8012339.18,9841523.73,36079871.38,5640233303.5,1930588766.78,2.1613,11.4702,5.5845,0.25,2022
002912.SZ,435776786.6,-168340585.14,-168419876.99,-122062108.47,1964485156.95,187952283.07,-7.5403,9.0657,2.9837,-0.71,2022
605299.SH,1351605627.93,136790860.53,135855288.83,109438911.16,1835964931.21,662211372.77,8.5076,3.1302,0.8517,0.27,2022
605366.SH,1697628002.32,406567374.0,404492016.35,352376335.34,2875971632.4,838225415.15,18.8014,4.6002,1.7555,0.81,2022
002105.SZ,1824864770.48,225503735.39,239239505.87,189175677.04,1916185931.79,454543590.94,20.8385,2.6125,0.162,0.519,2022
600372.SH,11186259692.86,926998450.43,925697899.35,871912569.27,28402468058.97,4505637034.58,7.4451,6.3196,2.2924,0.4546,2022
603319.SH,1624399929.33,180036957.8,179235153.94,169586790.58,2767068964.39,764983434.23,11.2836,7.4712,2.1194,0.82,2022
600660.SH,28098754166.0,5661372785.0,5579105687.0,4755595541.0,50767498791.0,14445878801.0,17.1965,11.1134,3.7171,1.82,2022
301192.SZ,143544129.31,52368296.67,59276066.01,51845595.27,605312696.54,43048253.8,9.1089,5.7069,2.1852,0.52,2022
300281.SZ,472408649.42,-6152048.31,-4643943.61,-1579172.97,1480050133.18,466822621.73,-0.1237,3.0257,1.1827,-0.0038,2022
600423.SH,140462968.15,28757282.37,15856323.12,15856323.12,513141913.12,54935316.45,3.6903,0.5469,2.2213,0.02,2022
003816.SZ,82822403586.43,18844614435.9,18699175021.1,9964854412.04,409015565449.93,232763516089.38,9.5844,2.1194,0.214,0.197,2022
301127.SZ,1272187257.75,247790432.65,241772562.92,202129241.46,3183971482.37,146787712.85,10.09,5.0241,2.6184,0.49,2022
688343.SH,545807729.16,-436125471.32,-436432167.54,-435904176.32,1623127175.17,,-35.7896,4.1046,7.6437,-1.68,2022
000663.SZ,756630723.82,298297593.81,268255801.87,268004066.77,1128385678.74,122256919.25,34.3797,2.6997,4.7782,0.8,2022
002379.SZ,3529269914.24,15069568.47,13981833.36,22842684.97,2595324146.45,991274555.73,1.6733,1.4981,0.6385,0.0247,2022
688195.SH,344336707.34,60744203.72,60848550.67,58384900.2,1014043261.57,361562262.9,6.805,6.7962,4.5765,0.45,2022
688301.SH,1549116657.78,708703144.79,708693546.73,641300445.36,5818732475.92,183885816.58,18.5109,49.8259,30.9407,8.84,2022
600862.SH,4446112680.24,890988387.59,893586356.5,765300799.53,7627226009.53,1078302268.54,14.894,3.902,1.0513,0.55,2022
920033.BJ,350081017.45,119745655.44,119985049.05,104049793.46,724827590.72,51187018.03,28.6372,5.6801,2.5652,1.4,2022
301281.SZ,442865098.55,98171384.93,98300261.85,91278406.78,651789219.99,288838566.15,19.2022,8.9608,3.3679,1.57,2022
600038.SH,19472858456.18,372186051.88,383349875.17,387070980.93,27694246082.23,1762079402.34,3.995,16.5437,7.501,0.6566,2022
920227.BJ,113115154.69,46326999.36,46282370.75,41899080.94,420865252.38,36455532.23,14.1577,10.3992,5.7973,1.35,2022
002805.SZ,1735732492.74,177150966.65,179525739.48,150904006.62,4959699000.46,634748385.89,8.5986,12.332,8.8601,0.82,2022
688484.SH,1300780807.0,238346995.41,241316782.96,246200407.06,2304320038.06,41866591.96,24.768,2.984,1.1114,0.68,2022
002162.SZ,1162627690.56,-292026976.51,-300836857.63,-278424533.43,2490346685.37,366118828.49,-24.3724,1.0861,0.2109,-0.3005,2022
300059.SZ,4628584901.79,9811175324.66,9782667962.25,8509461233.33,211880730164.65,2837992911.54,15.5844,4.9314,1.9732,0.65,2022
300346.SZ,1581230691.98,273808339.18,277755829.99,186732621.02,5314564363.62,1616688212.44,9.2559,3.8546,1.3753,0.34,2022
002419.SZ,12125028715.23,233375379.24,201824614.77,120092433.49,30443933661.28,5712333538.99,2.9462,3.4589,0.9745,0.1027,2022
603267.SH,2502200719.25,935243613.28,934384910.76,804602799.49,5341924381.07,484681707.78,21.9992,17.2359,5.7997,3.48,2022
002879.SZ,988910933.78,22380232.42,22293349.47,29754491.34,2219758361.24,270898019.42,1.7921,8.7283,3.7291,0.15,2022
